FkkoCode,FkkoDescription,collection,disposal,placement,processing,transportation,utilization
11255111324,Жидкая фракция сепарации свиного навоза при самосплавной системе навозоудаления,0,0,0,0,0,0
11255112394,Твердая фракция сепарации свиного навоза при самосплавной системе навозоудаления,0,0,0,0,0,0
11255121324,Жидкая фракция сепарации свиного навоза при смывной системе навозоудаления,0,0,0,0,0,0
11255122394,Твердая фракция сепарации свиного навоза при смывной системе навозоудаления,0,0,0,0,0,0
11255211324,Навозосодержащие стоки при гидроудалении навоза свиней,0,0,0,0,0,0
11255212323,Стоки навозные при самосплавной системе навозоудаления свиней,0,0,0,0,0,0
11255311334,Осадок навозных стоков от свинарников при отстаивании в навозонакопителях,0,0,0,0,0,0
11270000000,Отходы разведения сельскохозяйственной птицы,0,0,0,0,0,0
11271000000,Помет птичий,0,0,0,0,0,0
11271101333,Помет куриный свежий,0,0,0,0,0,0
11271102294,Помет куриный перепревший,0,0,0,0,0,0
11271112294,"Помет куриный, выдержанный в пометохранилище, обеззараженный",0,0,0,0,0,0
11271201333,"Помет утиный, гусиный свежий",0,0,0,0,0,0
11271202294,"Помет утиный, гусиный перепревший",0,0,0,0,0,0
11271301333,Помет прочих птиц свежий,0,0,0,0,0,0
11271302294,Помет прочих птиц перепревший,0,0,0,0,0,0
11272000000,Отходы инкубаторов для птицеводства,0,0,0,0,0,0
11272111294,Скорлупа куриных яиц при инкубации цыплят бройлеров,0,0,0,0,0,0
11279000000,Прочие отходы разведения сельскохозяйственной птицы,0,0,0,0,0,0
11279101334,Отходы подстилки из древесных опилок при содержании птиц,0,0,0,0,0,0
11279102394,Отходы подстилки из соломы при содержании птиц,0,0,0,0,0,0
11279611415,Мука яичной скорлупы,0,0,0,0,0,0
11279800000,Отходы при очистке сточных вод на локальных очистных сооружениях при разведении сельскохозяйственной птицы,0,0,0,0,0,0
11279891394,"Осадок механической очистки сточных вод, образующихся при разведении сельскохозяйственной птицы",0,0,0,0,0,0
11279892394,"Смесь осадков биологической и флотационной очистки сточных вод, образующихся при разведении сельскохозяйственной птицы",0,0,0,0,0,0
11290000000,Отходы разведения и содержания животных прочие,0,0,0,0,0,0
11291000000,Отходы разведения животных в звероводческих хозяйствах и питомниках,0,0,0,0,0,0
11291100000,Навоз пушных зверей,0,0,0,0,0,0
11291101334,Навоз пушных зверей свежий,0,0,0,0,0,0
11291102295,Навоз пушных зверей перепревший,0,0,0,0,0,0
11291211404,Отходы подстилки из древесных опилок при содержании пушных зверей,0,0,0,0,0,0
11297000000,Отходы разведения и содержания собак,0,0,0,0,0,0
11297101334,Экскременты собак свежие,0,0,0,0,0,0
11297111404,Отходы подстилки из древесных опилок при содержании собак,0,0,0,0,0,0
11297121204,Отходы подстилки из сена при содержании собак,0,0,0,0,0,0
11297511324,Жидкие отходы смыва нечистот при уборке вольеров,0,0,0,0,0,0
11298000000,Отходы разведения сельскохозяйственных животных и птиц в смеси,0,0,0,0,0,0
11298111334,Смесь навоза сельскохозяйственных животных и птичьего помета свежих малоопасная,0,0,0,0,0,0
11299000000,Отходы содержания диких животных в неволе,0,0,0,0,0,0
11299111334,"Навоз диких животных, содержащихся в неволе, свежий",0,0,0,0,0,0
11299211304,Отходы подстилки из древесных опилок при содержании диких животных в неволе,0,0,0,0,0,0
11400000000,Отходы при прочих работах и услугах в сельском хозяйстве,0,0,0,0,0,0
11410000000,Отходы пестицидов и агрохимикатов,0,0,0,0,0,0
11411000000,"Отходы минеральных удобрений, утративших потребительские свойства",0,0,0,0,0,0
11411111494,"Удобрения минеральные азотные, утратившие потребительские свойства",1,1,1,1,1,0
11412000000,"Отходы пестицидов, утративших потребительские свойства",0,0,0,0,0,0
11412100000,"Отходы гербицидов, утративших потребительские свойства",0,0,0,0,0,0
11412165313,"Гербицид на основе флурохлоридона, утративший потребительские свойства",1,1,1,1,1,0
11412166313,"Гербицид на основе диметахлора, утративший потребительские свойства",0,0,0,0,0,0
11412200000,"Отходы инсектицидов, утративших потребительские свойства",0,0,0,0,0,0
11412291292,"Гексахлорановые дымовые шашки, утратившие потребительские свойства",0,0,0,0,0,0
11412300000,"Отходы фунгицидов, утративших потребительские свойства",0,0,0,0,0,0
11412311412,"Фундазол, утративший потребительские свойства",1,1,1,1,1,0
11412400000,"Отходы инсектофунгицидов, утративших потребительские свойства",0,0,0,0,0,0
11412800000,"Смеси пестицидов и агрохимикатов, утративших потребительские свойства",0,0,0,0,0,0
11412811302,"Смесь жидких пестицидов 2 - 3 классов опасности, пригодная для термического обезвреживания",0,0,0,0,0,0
11412812402,"Смесь твердых пестицидов 2 - 3 классов опасности, пригодная для термического обезвреживания",0,0,0,0,0,0
11412881711,"Пестициды на основе хлорорганических соединений в смеси, содержащие грунт и остатки упаковки",0,0,0,0,0,0
11412891711,"Отходы средств защиты растений неустановленного состава в смеси, содержащие грунт и остатки упаковки",0,0,0,0,0,0
11414000000,Прочие отходы средств ухода за растениями,0,0,0,0,0,0
11414100000,"Пестициды, запрещенные к использованию",0,0,0,0,0,0
11414111493,"Гербицид симазин, запрещенный к использованию",1,1,1,1,1,0
